Date,US10Y_Yield,CPI,DXY_Close
2025-08-20,4.29,323.291,98.22000122070312
2025-08-21,4.33,323.291,98.62000274658205
2025-08-22,4.26,323.291,97.72000122070312
2025-08-25,4.28,323.291,98.43000030517578
2025-08-26,4.26,323.291,98.2300033569336
2025-08-27,4.24,323.291,98.2300033569336
2025-08-28,4.22,323.291,97.80999755859376
2025-08-29,4.23,323.291,97.7699966430664
2025-09-02,4.28,324.245,98.4000015258789
2025-09-03,4.22,324.245,98.13999938964844
2025-09-04,4.17,324.245,98.3499984741211
2025-09-05,4.1,324.245,97.7699966430664
2025-09-08,4.05,324.245,97.4499969482422
2025-09-09,4.08,324.245,97.79000091552734
2025-09-10,4.04,324.245,97.77999877929688
2025-09-11,4.01,324.245,97.54000091552734
2025-09-12,4.06,324.245,97.5500030517578
2025-09-15,4.05,324.245,97.3000030517578
2025-09-16,4.04,324.245,96.62999725341795
2025-09-17,4.06,324.245,96.87000274658205
2025-09-18,4.11,324.245,97.3499984741211
2025-09-19,4.14,324.245,97.63999938964844
2025-09-22,4.15,324.245,97.33000183105467
2025-09-23,4.12,324.245,97.26000213623048
2025-09-24,4.16,324.245,97.87000274658205
2025-09-25,4.18,324.245,98.5500030517578
2025-09-26,4.2,324.245,98.1500015258789
2025-09-29,4.15,324.245,97.91000366210938
2025-09-30,4.16,324.245,97.7699966430664
2025-10-01,4.12,324.245,97.70999908447266
2025-10-02,4.1,324.245,97.8499984741211
2025-10-03,4.13,324.245,97.72000122070312
2025-10-06,4.18,324.245,98.11000061035156
2025-10-07,4.14,324.245,98.58000183105467
2025-10-08,4.13,324.245,98.8499984741211
2025-10-09,4.14,324.245,99.54000091552734
2025-10-10,4.05,324.245,98.9800033569336
2025-10-13,4.05,324.245,99.2699966430664
2025-10-14,4.03,324.245,99.0500030517578
2025-10-15,4.05,324.245,98.79000091552734
2025-10-16,3.99,324.245,98.38999938964844
2025-10-17,4.02,324.245,98.43000030517578
2025-10-20,4.0,324.245,98.58999633789062
2025-10-21,3.98,324.245,98.93000030517578
2025-10-22,3.97,324.245,98.9000015258789
2025-10-23,4.01,324.245,98.94000244140624
2025-10-24,4.02,324.245,98.9499969482422
2025-10-27,4.01,324.245,98.77999877929688
2025-10-28,3.99,324.245,98.69000244140624
2025-10-29,4.08,324.245,99.22000122070312
2025-10-30,4.11,324.245,99.52999877929688
2025-10-31,4.11,324.245,99.8000030517578
2025-11-03,4.13,325.063,99.87000274658205
2025-11-04,4.1,325.063,100.22000122070312
2025-11-05,4.17,325.063,100.1999969482422
2025-11-06,4.11,325.063,99.7300033569336
2025-11-07,4.11,325.063,99.5999984741211
2025-11-10,4.13,325.063,99.62000274658205
2025-11-11,4.13,325.063,99.45999908447266
2025-11-12,4.08,325.063,99.4800033569336
2025-11-13,4.11,325.063,99.18000030517578
2025-11-14,4.14,325.063,99.2699966430664
2025-11-17,4.13,325.063,99.58999633789062
2025-11-18,4.12,325.063,99.5500030517578
2025-11-19,4.13,325.063,100.2300033569336
2025-11-20,4.1,325.063,100.16000366210938
2025-11-21,4.06,325.063,100.18000030517578
2025-11-24,4.04,325.063,100.13999938964844
2025-11-25,4.01,325.063,99.66000366210938
2025-11-26,4.0,325.063,99.5999984741211
2025-11-28,4.02,325.063,99.45999908447266
2025-12-01,4.09,326.031,99.41000366210938
2025-12-02,4.09,326.031,99.36000061035156
2025-12-03,4.06,326.031,98.8499984741211
2025-12-04,4.11,326.031,98.98999786376952
2025-12-05,4.14,326.031,98.98999786376952
2025-12-08,4.17,326.031,99.08999633789062
2025-12-09,4.18,326.031,99.22000122070312
2025-12-10,4.13,326.031,98.79000091552734
2025-12-11,4.14,326.031,98.3499984741211
2025-12-12,4.19,326.031,98.4000015258789
2025-12-15,4.18,326.031,98.1500015258789
2025-12-16,4.15,326.031,98.1500015258789
2025-12-17,4.16,326.031,98.37000274658205
2025-12-18,4.12,326.031,98.43000030517578
2025-12-19,4.16,326.031,98.5999984741211
2025-12-22,4.17,326.031,98.29000091552734
2025-12-23,4.18,326.031,97.94000244140624
2025-12-24,4.15,326.031,97.9800033569336
2025-12-26,4.14,326.031,98.0199966430664
2025-12-29,4.12,326.031,98.04000091552734
2025-12-30,4.14,326.031,98.23999786376952
2025-12-31,4.18,326.031,98.27999877929688
2026-01-02,4.19,326.588,98.41999816894533
2026-01-05,4.17,326.588,98.2699966430664
2026-01-06,4.18,326.588,98.58000183105467
2026-01-07,4.15,326.588,98.68000030517578
2026-01-08,4.19,326.588,98.93000030517578
2026-01-09,4.18,326.588,99.12999725341795
2026-01-12,4.19,326.588,98.86000061035156
2026-01-13,4.18,326.588,99.12999725341795
2026-01-14,4.15,326.588,99.12999725341795
2026-01-15,4.17,326.588,99.31999969482422
2026-01-16,4.24,326.588,99.38999938964844
2026-01-20,4.3,326.588,98.63999938964844
2026-01-21,4.26,326.588,98.76000213623048
2026-01-22,4.26,326.588,98.36000061035156
2026-01-23,4.24,326.588,97.5999984741211
2026-01-26,4.22,326.588,97.04000091552734
2026-01-27,4.24,326.588,96.22000122070312
2026-01-28,4.26,326.588,96.4499969482422
2026-01-29,4.24,326.588,96.27999877929688
2026-01-30,4.26,326.588,96.98999786376952
2026-02-02,4.29,327.46,97.61000061035156
2026-02-03,4.28,327.46,97.44000244140624
2026-02-04,4.29,327.46,97.62000274658205
2026-02-05,4.21,327.46,97.81999969482422
