Date,Asset,30D_Return,90D_Return
2025-02-27,Bitcoin,-0.12254557532243726,0.256742325619997
2025-02-28,Bitcoin,-0.16050510801950313,0.2331847577048749
2025-03-03,Bitcoin,-0.13724598014987055,0.2775481164803548
2025-03-04,Bitcoin,-0.165034532206339,0.29483928807528414
2025-03-05,Bitcoin,-0.14623880579877913,0.36415125337500487
2025-03-06,Bitcoin,-0.1320881639947804,0.31984058895435497
2025-03-07,Bitcoin,-0.16561630949111972,0.30161359091297557
2025-03-10,Bitcoin,-0.25078814813622285,0.12336602484993331
2025-03-11,Bitcoin,-0.18832316642004454,0.13946163515850452
2025-03-12,Bitcoin,-0.17378552054472296,0.1573526795998168
2025-03-13,Bitcoin,-0.21828164825236318,0.15454655910446724
2025-03-14,Bitcoin,-0.1982731915179926,0.20849335196513152
2025-03-17,Bitcoin,-0.17898864061768205,0.23984394702549228
2025-03-18,Bitcoin,-0.18427931691892085,0.19260412001589544
2025-03-19,Bitcoin,-0.11257166480424452,0.14827188161873162
2025-03-20,Bitcoin,-0.1288432709670434,0.10885121197156566
2025-03-21,Bitcoin,-0.12992676607509157,0.09795177927827003
2025-03-24,Bitcoin,-0.09354871422740696,-0.013557499301995235
2025-03-25,Bitcoin,-0.10227936850901387,-0.005504006628328284
2025-03-26,Bitcoin,-0.09239461470530663,-0.040661425626875136
2025-03-27,Bitcoin,-0.10940045764398743,-0.0008404328237996417
2025-03-28,Bitcoin,-0.12699469714028833,-0.07371421605327655
2025-03-31,Bitcoin,-0.15342234544450561,-0.08828687243182554
2025-04-01,Bitcoin,-0.10854536513102964,-0.07769463718500969
2025-04-02,Bitcoin,-0.14642530356062133,-0.12565025500074323
2025-04-03,Bitcoin,-0.15489168604684422,-0.15635694829047309
2025-04-04,Bitcoin,-0.1277677223877952,-0.1530728984214511
2025-04-07,Bitcoin,-0.13326492630106535,-0.14894327425796927
2025-04-08,Bitcoin,-0.14046378705132756,-0.17082472653372593
2025-04-09,Bitcoin,-0.02102113673061412,-0.139518809587466
2025-04-10,Bitcoin,-0.05995079754081778,-0.1829992204455685
2025-04-11,Bitcoin,-0.011474900564781843,-0.12997891980439025
2025-04-14,Bitcoin,-0.017699057206134183,-0.11936994909864096
2025-04-15,Bitcoin,-0.04073737323704785,-0.15287803586225746
2025-04-16,Bitcoin,-0.07271503272120872,-0.13002628523168558
2025-04-17,Bitcoin,-0.05631257598174777,-0.15036883541489265
2025-04-22,Bitcoin,0.07723094764309169,-0.04095983542489412
2025-04-23,Bitcoin,0.19313285507818478,-0.030786729597384266
2025-04-24,Bitcoin,0.13373509844986442,-0.07145416407596272
2025-04-25,Bitcoin,0.13136443725550473,-0.053202123087072506
2025-04-28,Bitcoin,0.1716123431533716,-0.06387300629062542
2025-04-29,Bitcoin,0.12285099290149981,-0.11077016732631861
2025-04-30,Bitcoin,0.12050600240408382,-0.11242906943082642
